100,Tuesday Series 2,Squib hcap,
103,Dinghy Spring,Optimist,
104,Dinghy Spring,Sundry,
105,Dinghy Summer,Optimist,
106,Dinghy Summer,Sundry Low PY,
107,Dinghy Summer,Sundry High PY,
108,Tuesday Series 3,Puppeteer scr,
109,Tuesday Series 3,Puppeteer hcap,
111,Tuesday Series 3,Squib scr,
112,Tuesday Series 3,Squib hcap,
113,Tue + Sat Series 3,17 Footer scr,
114,Tue + Sat Series 3,17 Footer hcap,
115,Saturday One Design S3,Puppeteer scr,
116,Saturday One Design S3,Puppeteer hcap,
117,Saturday One Design S3,Squib scr,
118,Saturday One Design S3,Squib hcap,
119,Wednesday Series 3,Class 2 irc,
120,Wednesday Series 3,Class 2 hcap,
121,Wednesday Series 3,Class 3 irc,
122,Wednesday Series 3,Class 3 hcap,
123,Wednesday Series 3,White Sails irc,
124,Wednesday Series 3,White Sails hcap,
125,Tuesday Series 2,Squib scr,
128,Dinghy June Sundays,Optimist,
129,Dinghy June Sundays,Sundry High PY,
130,Dinghy June Sundays,Sundry Low PY,
138,Wednesday Mini,Class 2 irc,
139,Wednesday Mini,Class 2 hcap,
140,Wednesday Mini,Class 3 irc,
141,Wednesday Mini,Class 3 hcap,
142,Wednesday Mini,White Sail irc,
143,Wednesday Mini,White Sail hcap,
144,Tuesday Mini,Puppeteers scr,
145,Tuesday Mini,Puppeteers hcap,
146,Tuesday Mini,Squib scr,
147,Tuesday Mini,Squib hcap,
148,Tuesday Mini,17 footer scr,
149,Tuesday Mini,17 footer hcap,
199,Saturday One Design S1,Squib scr,
200,Saturday One Design S1,Squib hcap,
21,Tuesday Series 1,Puppeteer scr,
22,Tuesday Series 1,Puppeteer hcap,
23,Wednesday Series 1,Class 2 irc,
24,Wednesday Series 1,Class 2 hcap,
25,Wednesday Series 1,Class 3 irc,
26,Wednesday Series 1,Class 3 hcap,
27,Wednesday Series 1,White Sails irc,
28,Wednesday Series 1,White Sails hcap,
29,Tuesday Series 1,Squib scr,
30,Tuesday Series 1,Squib hcap,
31,Tue + Sat Series 1,17 Footer scr,
32,Tue + Sat Series 1,17 Footer hcap,
33,Saturday Cruisers,Cruisers irc,
34,Saturday Cruisers,Cruisers hcap,
35,Saturday One Design S1,Puppeteer scr,
36,Saturday One Design S1,Puppeteer hcap,
37,Saturday One Design S2,Squib scr,
38,Saturday One Design S2,Squib hcap,
82,Tuesday Series 2,Puppeteer scr,
83,Tuesday Series 2,Puppeteer hcap,
84,Tue + Sat Series 2,17 Footer scr,
85,Tue + Sat Series 2,17 Footer hcap,
86,Wednesday Series 2,Class 2 irc,
87,Wednesday Series 2,Class 2 hcap,
88,Wednesday Series 2,Class 3 irc,
89,Wednesday Series 2,Class 3 hcap,
90,Wednesday Series 2,White Sails irc,
91,Wednesday Series 2,White Sails hcap,
93,Saturday One Design S2,Puppeteer scr,
94,Saturday One Design S2,Puppeteer hcap,
