2065,Tues & Sat 17’s Series 1,Overall,/reshyc/2025/club/series1_tuesat17.htm
2066,Saturday Series 1,Squibs,/reshyc/2025/club/series1_satsquibs.htm
2067,Saturday Series 1,Puppeteer 22,/reshyc/2025/club/series1_satpups.htm
2068,Saturday Series 1,Cruisers,/reshyc/2025/club/series1_satcruisers.htm
2069,Tuesday Series 1,Squibs,/reshyc/2025/club/series1_tue_squib.htm
2070,Tuesday Series 1,Puppeteers,/reshyc/2025/club/series1_tue_pup.htm
2071,Wednesday Series 1,Class 1,/reshyc/2025/club/series1_class1.htm
2072,Wednesday Series 1,Class 2,/reshyc/2025/club/series1_class2.htm
2073,Wednesday Series 1,Non Spinnaker,/reshyc/2025/club/series1_ns.htm
2074,Wednesday Series 1,Sports Boats,/reshyc/2025/club/series1_sb.htm
2075,Dinghys - Thursdays,Overall,/reshyc/2025/club/dinghy_py.htm
2077,Wednesday Series 1,Class 3,/reshyc/2025/club/series1_class3.htm
2079,Dinghys - Thursdays,Optimist,/reshyc/2025/club/dinghy_optimist.htm
2090,Tuesday Series 2,Squibs,/reshyc/2025/club/series2_tue_squib.htm
2091,Tuesday Series 2,Puppeteer 22,/reshyc/2025/club/series2_tue_pup.htm
2099,Wednesday Series 2,Class 1,/reshyc/2025/club/series2_class1.htm
2100,Wednesday Series 2,Class 2,/reshyc/2025/club/series2_class2.htm
2101,Wednesday Series 2,Class 3,/reshyc/2025/club/series2_class3.htm
2102,Wednesday Series 2,Non Spinnaker,/reshyc/2025/club/series2_class4.htm
2103,Wednesday Series 2,Sports Boats,/reshyc/2025/club/series2_sb.htm
2104,Saturday Series 2,Cruisers,/reshyc/2025/club/series2_satcruisers.htm
2105,Saturday Series 2,Puppeteer 22,/reshyc/2025/club/series2_satpups.htm
2106,Saturday Series 2,Squibs,/reshyc/2025/club/series2_satsquibs.htm
2108,Tues & Sat 17’s Series 2,Overall,/reshyc/2025/club/series2_tuesat17.htm
2110,Tues Overall - Puppeteer 22,Overall,/reshyc/2025/club/overall_tuepup.htm
2112,Tuesday Series 3,Puppeteer 22,/reshyc/2025/club/series3_tue_pup.htm
2113,Tuesday Series 3,Squibs,/reshyc/2025/club/series3_tue_squib.htm
2114,Wednesday Series 3,Class 2,/reshyc/2025/club/series3_class2.htm
2115,Wednesday Series 3,Class 1,/reshyc/2025/club/series3_class1.htm
2116,Wednesday Series 3,Class 3,/reshyc/2025/club/series3_class3.htm
2117,Wednesday Series 3,Non Spinnaker,/reshyc/2025/club/series3_class4.htm
2119,Tues & Sat 17’s Series 3,Overall,/reshyc/2025/club/series3_tuesat17.htm
2123,Saturday Series 3,Puppeteer 22,/reshyc/2025/club/series3_satpups.htm
2124,Saturday Series 3,Cruisers,/reshyc/2025/club/series3_satcruisers.htm
2125,Saturday Series 3,Squibs,/reshyc/2025/club/series3_satsquibs.htm
2131,Dinghys - Thursdays,Feva,/reshyc/2025/club/dinghy_feva
2134,Tuesday Mini Series,Puppeteer 22,/reshyc/2025/club/mini_tue_pup.htm
2135,Tuesday Mini Series,Squibs,/reshyc/2025/club/mini_tue_squib.htm
2136,Tues & Sat 17’s Mini Series,Overall,/reshyc/2025/club/mini_tuesat17.htm
2138,Wednesday Mini Series,Class 1,/reshyc/2025/club/mini_class1.htm
2139,Wednesday Mini Series,Class 2,/reshyc/2025/club/mini_class2.htm
2140,Wednesday Mini Series,Class 3,/reshyc/2025/club/mini_class3.htm
2141,Wednesday Mini Series,Non Spinnaker,/reshyc/2025/club/mini_class4.htm
2148,Women at the helm,Generally,/reshyc/2025/club/womenatthehelm_generally
