126,Puppeteer Nationals,Hcap,
127,Puppeteer Nationals,Scratch,
131,17 Championships,17 footer scr,
132,17 Championships,17 footer hcap,
133,Class 2 & 3 East Coast Champs,class 2 irc,
134,Class 2 & 3 East Coast Champs,Class 2 echo,
135,Class 2 & 3 East Coast Champs,Class 3 irc,
136,Class 2 & 3 East Coast Champs,Class 3 echo,
137,Quarter Ton Cup,Class 3 irc,
150,Shipman National Championship,Scratch,
152,Double Handed Race,White Sails IRC,
153,Double Handed Race,White Sails Hcap,
154,Double Handed Race,Spinnaker IRC,
155,Double Handed Race,Spinnaker Hcap,
157,Gibney Classic,class 1 IRC,
160,Gibney Classic,Class 1 Echo,
161,Gibney Classic,Puppeteer Hcap,
162,Gibney Classic,Puppeteer Scr,
163,Gibney Classic,White Sails IRC,
164,Gibney Classic,Class 3 IRC,
166,Gibney Classic,Howth 17 Hcap,
167,Gibney Classic,Howth 17 Scr,
168,Gibney Classic,Class 3 Echo,
169,Gibney Classic,White Sails Echo,
170,Gibney Classic,Class 2 Echo,
171,Gibney Classic,Class 2 IRC,
172,Dinghy Regatta,420,
173,Dinghy Regatta,Laser,
174,Dinghy Regatta,Optimist - Main Fleet,
175,Dinghy Regatta,Optimist - Regatta Fleet,
176,Dinghy Regatta,Topper,
177,GP14 Class Autumn Open,Open Championship,
178,GP14 Class Autumn Open,Youth Championships,
179,Autumn League,Howth 17 Scr,
180,Autumn League,Howth 17 Hcap,
181,Autumn League,Puppeteer Scr,
182,Autumn League ,Puppeteer Hcap,
183,Autumn League,Squib Scr,
184,Autumn League,Squib Hcap,
185,Autumn League,J80,
186,Autumn League,Class 1 IRC,
187,Autumn League,Class 1 Echo,
188,Autumn League ,Class 2 IRC,
189,Autumn League,Class 2 Echo,
190,Autumn League,Class 3 IRC,
191,Autumn League,Class 3 Echo,
192,Autumn League,Class 4 Echo,
193,Autumn League,Class 4 IRC,
194,Autumn League,Class 5 Echo,
195,Autumn League,Class 5 IRC,
201,Autumn League,Class 1 IRC mini,
202,Autumn League,Class 1 Echo mini,
203,Autumn League,Class 3 IRC mini,
204,Autumn League,Class 3 Echo mini,
205,Autumn League ,Class 4 IRC mini,
206,Autumn League,Class 4 Echo mini,
207,Dinghy Claremont Series,Optimist,
208,Dinghy Claremont Series,Sundry High PY,
209,Dinghy Claremont Series,Sundry Low PY,
210,Brass Monkey Winter,Class 1,
211,Brass Monkey Winter,Class 2A,
212,Brass Monkey Winter,Class 3,
213,Laser Frostbite Winter,Standard,
215,Laser Frostbite Winter,Radial,
218,Laser Frostbite Winter,4.7,
220,Brass Monkey Winter,Class 2B,
229,Puppeteer,,
230,Spring Warmer,Puppeteer,
39,Brass Monkeys Spring,Class 1,
40,Brass Monkeys Spring,Class 2,
41,Brass Monkeys Spring,Class 3,
42,Laser Round Island Race,Standard,
43,Laser Round Island Race,Radial,
44,Laser Round Island Race,4.7,
45,Spring Warmer,Class 2,
46,Spring Warmer,Class 3,
47,Spring Warmer,Squib,
48,Spring Warmer,SB20,
49,Spring Warmer,J24,
50,Spring Warmer,J80,
51,Royal Alfred Race Day,Class 2 irc,
52,Royal Alfred Race Day,J24,
53,Royal Alfred Race Day,J80,
54,Royal Alfred Race Day,SB20,
55,Royal Alfred Race Day,Squib,
56,Royal Alfred Race Day,Puppeteer,
57,ISA Youth Nationals,Laser Radial,
58,ISA Youth Nationals,Laser 4.7,
59,ISA Youth Nationals,Topper,
6,Laser Frostbite Spring Series,Standard,
60,ISA Youth Nationals,420,
61,ISA Youth Nationals,Optimist Champs,
62,Lambay Races,Class 1 irc,
63,Lambay Races,Class 1 echo,
64,Lambay Races,Class 2 irc,
65,Lambay Races,Class 2 echo,
66,Lambay Races,Class 3 irc,
67,Lambay Races,Class 3 echo,
68,Lambay Races,White Sails A irc,
69,Lambay Races,White Sails A echo,
7,Laser Frostbite Spring Series,Radial,
70,Lambay Races,White Sails B irc,
71,Lambay Races,White Sails B echo,
72,Lambay Races,Shipman,
73,Lambay Races,Ruffian 23 scr,
74,Lambay Races,Puppeteer 22 scr,
75,Lambay Races,Puppeteer 22 hcap,
76,Lambay Races,Squib scr,
77,Lambay Races,Squib hcap,
78,Lambay Races,17 Footer scr,
79,Lambay Races,17 Footer hcap,
8,Laser Frostbite Spring Series,4.7,
80,Lambay Races,J80 scr,
92,Lambay Races,Gaffers hcap,
96,Sportsboat Cup,1720 Europeans,
97,Sportsboat Cup,J24 Easterns,
98,Sportsboat Cup,J 80 Sailfleet,
