686,Wednesday Series 1,Class 2 irc,/reshyc/2017/club/wednesday_s1/class2_irc.htm
687,Wednesday Series 1,Class 2 hcap,/reshyc/2017/club/wednesday_s1/class2_hcap.htm
688,Wednesday Series 1,Class 3 hcap,/reshyc/2017/club/wednesday_s1/class3_hcap.htm
689,Wednesday Series 1,Class 3 irc,/reshyc/2017/club/wednesday_s1/class3_irc.htm
690,Wednesday Series 1,White Sails irc,/reshyc/2017/club/wednesday_s1/whitesails_irc.htm
691,Wednesday Series 1,White Sails hcap,/reshyc/2017/club/wednesday_s1/whitesails_hcap.htm
692,Tuesday Series 1,Puppeteer scr,/reshyc/2017/club/tuesday_s1/puppeteer_scr.htm
693,Tue + Sat Series 1,17 Footer scr,/reshyc/2017/club/tue_sat_s1/17footer_scr.htm 
694,Saturday One Design S1,Puppeteer Hcap,/reshyc/2017/club/saturday_oneDesign_s1/puppeteer_hcap.htm
695,Saturday Whitesails,Cruisers IRC,/reshyc/2017/club/saturday_cruisers_whitesails/cruisers_ws_irc.htm
696,Tuesday Series 1,Puppeteer hcap,/reshyc/2017/club/tuesday_s1/puppeteer_hcap.htm
697,Tuesday Series 1,Squib scr,/reshyc/2017/club/tuesday_s1/squib_scr.htm
698,Tuesday Series 1,Squib hcap,/reshyc/2017/club/tuesday_s1/squib_hcap.htm
699,Tue + Sat Series 1,17 Footer hcap,/reshyc/2017/club/tue_sat_s1/17footer_hcap.htm 
700,Wednesday Series 1,Class 1 & 2 irc,/reshyc/2017/club/wednesday_s1/class1&2_irc.htm
701,Wednesday Series 1,Class 1 & 2 hcap,/reshyc/2017/club/wednesday_s1/class1&2_hcap.htm
702,Saturday One Design S1,Puppeteer Scratch,/reshyc/2017/club/saturday_oneDesign_s1/puppeteer_scr.htm
703,Saturday One Design S1,Squib Scratch,/reshyc/2017/club/saturday_oneDesign_s1/squib_scr.htm
704,Saturday One Design S1,Squib Hcap,/reshyc/2017/club/saturday_oneDesign_s1/squib_hcap.htm
705,Saturday Whitesails,Cruisers Hcap,/reshyc/2017/club/saturday_cruisers_whitesails/cruisers_ws_hcap.htm
706,Dinghy Spring Series,Optimist,/reshyc/2017/club/Dinghy_May/Dinghy_May-Oppyoall.htm
707,Dinghy Spring Series,Sundry Fast,/reshyc/2017/club/Dinghy_May/Dinghy_May-Sundry_Fast.htm
708,Dinghy Spring Series,Sundry Slow,/reshyc/2017/club/Dinghy_May/Dinghy_May-Sundry_Slow.htm
709,Wednesday Series 1,Class 1 hcap,/reshyc/2017/club/wednesday_s1/class1_hcap.htm
710,Wednesday Series 1,Class 1 irc,/reshyc/2017/club/wednesday_s1/class1_irc.htm
732,Tuesday Series 2,Puppeteer scr,/reshyc/2017/club/tuesday_s2/puppeteer_scr.htm
733,Tuesday Series 2,Puppeteer hcap,/reshyc/2017/club/tuesday_s2/puppeteer_hcap.htm
734,Tuesday Series 2,Squib scr,/reshyc/2017/club/tuesday_s2/squib_scr.htm
735,Tuesday Series 2,Squib hcap,/reshyc/2017/club/tuesday_s2/squib_hcap.htm
736,Tue + Sat Series 2,17 Footer scr,/reshyc/2017/club/tue_sat_s2/17footer_scr.htm
737,Tue + Sat Series 2,17 Footer hcap,/reshyc/2017/club/tue_sat_s2/17footer_hcap.htm
738,Dinghy Summer Series,Optimist,/reshyc/2017/club/Dinghy_Summer/Dinghy_Summer-Oppyoall.htm
740,Dinghy Summer Series,Sundry,/reshyc/2017/club/Dinghy_Summer/Dinghy_Summer-Sundry.htm
742,Wednesday Series 2,Class 1 irc,/reshyc/2017/club/wednesday_s2/class1_irc.htm
