1569,Mini Series H17 Tues & Sat,H17 SCR,/reshyc/2021/club_tuesday_mini_17_scr.htm
1570,Mini Series H17 Tues & Sat,H17 HPH,/reshyc/2021/club_tuesday_mini_17_hph.htm
1571,Tues Mini Series,Puppeteer Scr,/reshyc/2021/club_tuesday_mini_pup_scr.htm
1572,Tues Mini Series,Puppeteer HPH,/reshyc/2021/club_tuesday_mini_pup_hph.htm
1573,Tues Mini Series,Squib SCR,/reshyc/2021/club_tuesday_mini_squib_scr.htm
1574,Tues Mini Series,Squib HPH,/reshyc/2021/club_tuesday_mini_squib_hph.htm
1575,Wed. Mini Series,White Sails HPH,/reshyc/2021/club_wednesday_mini_whitesails_hph.htm
1576,Wed. Mini Series,White Sails IRC,/reshyc/2021/club_wednesday_mini_whitesails_irc.htm
1577,Wed. Mini Series,Class 1 IRC,/reshyc/2021/club_wednesday_mini_class1_irc.htm
1578,Wed. Mini Series,Class 1 HPH,/reshyc/2021/club_wednesday_mini_class1_hph.htm
1579,Wed. Mini Series,Class 2 IRC,/reshyc/2021/club_wednesday_mini_class2_irc.htm
1580,Wed. Mini Series,Class 2 HPH,/reshyc/2021/club_wednesday_mini_class2_hph.htm
1581,Wed. Mini Series,Class 3 IRC,/reshyc/2021/club_wednesday_mini_class3_irc.htm
1582,Wed. Mini Series,Class 3 HPH,/reshyc/2021/club_wednesday_mini_class3_hph.htm
