1960,Tuesday Series 1,Squibs,/reshyc/2024/club/series1_tue_squib.htm
1961,Tuesday Series 1,Puppeteers,/reshyc/2024/club/series1_tue_pup.htm
1962,Wednesday Series 1,Class 1,/reshyc/2024/club/series1_class1.htm
1963,Wednesday Series 1,Class 2,/reshyc/2024/club/series1_class2.htm
1964,Wednesday Series 1,Non Spinnaker,/reshyc/2024/club/series1_ns.htm
1965,Dinghys - Thursdays,Overall,/reshyc/2024/club/dinghy_py.htm
1966,Saturday Series 1,Puppeteer,/reshyc/2024/club/series1_satpups.htm
1967,Saturday Series 1,Squibs,/reshyc/2024/club/series1_satsquibs.htm
1968,Tues & Sat 17’s Series 1,Overall,/reshyc/2024/club/series1_tuesat17.htm
1969,Saturday Series 1,Cruisers,/reshyc/2024/club/series1_satcruisers.htm
1989,Tuesday Series 2,Squibs,/reshyc/2024/club/series2_tue_squib.htm
1990,Tuesday Series 2,Puppeteers,/reshyc/2024/club/series2_tue_pup.htm
1991,Tues & Sat 17’s Series 2,Overall,/reshyc/2024/club/series2_tuesat17.htm
1993,Wednesday Series 2,Class 1,/reshyc/2024/club/series2_class1.htm
1994,Wednesday Series 2,Class 2,/reshyc/2024/club/series2_class2.htm
1995,Wednesday Series 2,Non Spinnaker,/reshyc/2024/club/series2_ns.htm
1999,Saturday Series 2,Puppeteers,/reshyc/2024/club/series2_satpups.htm
2000,Saturday Series 2,Squibs,/reshyc/2024/club/series2_satsquibs.htm
2001,Saturday Series 2,Cruisers,/reshyc/2024/club/series2_satcruisers.htm
2003,Tues & Sat 17’s Series 3,Overall,/reshyc/2024/club/series3_tuesat17.htm
2005,Tuesday Series 3,Squibs,/reshyc/2024/club/series3_tue_squib.htm
2006,Tuesday Series 3,Puppeteers,/reshyc/2024/club/series3_tue_pup.htm
2007,Wednesday Series 3,Class 1,/reshyc/2024/club/series3_class1.htm
2008,Wednesday Series 3,Class 2,/reshyc/2024/club/series3_class2.htm
2009,Wednesday Series 3,Non Spinnaker,/reshyc/2024/club/series3_ns.htm
2011,Saturday Series 3,Puppeteers,/reshyc/2024/club/series3_satpups.htm
2012,Saturday Series 3,Squibs,/reshyc/2024/club/series3_satsquibs.htm
2013,Saturday Series 3,Cruisers,/reshyc/2024/club/series3_satcruisers.htm
2021,Tues & Sat 17’s Mini Series,Overall,/reshyc/2024/club/mini_tuesat17.htm
2022,Tuesday Mini Series,Squibs,/reshyc/2024/club/mini_tue_squib.htm
2023,Tuesday Mini Series,Puppeteers,/reshyc/2024/club/mini_tue_pup.htm
2024,Wednesday Mini Series,Class 1,/reshyc/2024/club/mini_class1.htm
2025,Wednesday Mini Series,Class 2,/reshyc/2024/club/mini_class2.htm
2026,Wednesday Mini Series,Non Spinnaker,/reshyc/2024/club/mini_ns.htm
