2053,NYD Dinghies,PY Class,/reshyc/2025/open/nyddinghy/py.htm
2055,Dinghy F'bite Spring 2025,PY Class,/reshyc/2025/open/springfbites/pyclass.htm
2058,Dinghy F'bite Spring 2025,Melges 15,/reshyc/2025/open/springfbites/m15class.htm
2059,Dinghy F'bite Spring 2025,ILCA ,/reshyc/2025/open/springfbites/ilcaclass.htm
2062,Brass Monkeys Spring Series,Overall,/reshyc/2025/open/BMspringseries_overall.htm
2063,Dinghy Round the Island,ILCA Class,/reshyc/2025/open/RTI/ilca.htm
2064,Dinghy Round the Island,PY Class,/reshyc/2025/open/RTI/py.htm
2076,Brassed-Off Cup,Optimists,/reshyc/2025/open/brassedoff/optimist.htm
2078,Fingal Series,Overall,/reshyc/2025/open/open_fingal_overall.htm
2080,Lambay Races,Puppeteer 22,/reshyc/2025/open/lambay/pup22.htm
2081,Lambay Races,Howth 17,/reshyc/2025/open/lambay/howth17.htm
2082,Lambay Races,Squib,/reshyc/2025/open/lambay/squib.htm
2083,Lambay Races,Class 0,/reshyc/2025/open/lambay/class0.htm
2084,Lambay Races,Class 1,/reshyc/2025/open/lambay/class1.htm
2085,Lambay Races,Class 2,/reshyc/2025/open/lambay/class2.htm
2086,Lambay Races,Class 3,/reshyc/2025/open/lambay/class3.htm
2087,Lambay Races,Non Spinnaker 4,/reshyc/2025/open/lambay/ns4.htm
2088,Lambay Races,Non Spinnaker 5,/reshyc/2025/open/lambay/ns5.htm
2092,Lambay Races,Ruffian 23,/reshyc/2025/open/lambay/ruf23.htm
2093,Lambay Races,Sunday Class 0,/reshyc/2025/open/lambay/sunclass0.htm
2094,Lambay Races,Sunday Class 1,/reshyc/2025/open/lambay/sunclass1.htm
2095,Lambay Races,Sunday Class 2,/reshyc/2025/open/lambay/sunclass2.htm
2096,Lambay Races,Sunday Class 4 NS,/reshyc/2025/open/lambay/sunclass4.htm
2109,Sigma 33 Championships,Overall,/reshyc/2025/open/sigma33championships.htm
2120,Dinghy Regatta,PY,/reshyc/2025/open/dinghy/py.htm
2121,Dinghy Regatta,IDRA 14,/reshyc/2025/open/dinghy/idra14.htm
2122,Dinghy Regatta,Optimist,/reshyc/2025/open/dinghy/optimist.htm
2126,Dinghy Regatta,Melges 15,/reshyc/2025/open/dinghy/m15.htm
2127,Gibney Classic,Overall,/reshyc/2025/open/gibneyclassic_overall.htm
2128,Howth 17 Footer Nationals,Howth 17,/reshyc/2025/open/h17nationals.htm
2129,1720 Nationals,Overall,/reshyc/2025/open/1720nationals.htm
2132,Double Handed,Overall,/reshyc/2025/open/doublehanded_overall.htm
2133,Puppeteer 22 Championships,Overall,/reshyc/2025/open/pupnationals_overall.htm
2137,Melges 15 Irish Championship,Overall,/reshyc/2025/open/M15overall.htm
2149,Squib Easterns 2025,Squib,/reshyc/2025/open/squibeasterns_generally
2150,Autumn League - Inshore,Howth 17,/reshyc/2025/open/al_inshore_h17.htm
2151,Autumn League - Inshore,Puppeteer 22,/reshyc/2025/open/al_inshore_p22.htm
2152,Autumn League - Inshore,Squib,/reshyc/2025/open/al_inshore_squib.htm
2154,Autumn League - Offshore,Class 1,/reshyc/2025/open/al_offshore_cr1.htm
2155,Autumn League - Offshore,Class 2,/reshyc/2025/open/al_offshore_cr2.htm
2156,Autumn League - Offshore,Class 3,/reshyc/2025/open/al_offshore_cr3.htm
2157,Autumn League - Offshore,Non Spinnaker Class 4,/reshyc/2025/open/al_offshore_cr4.htm
2158,Autumn League - Offshore,Non Spinnaker Class 5,/reshyc/2025/open/al_offshore_cr5.htm
2159,Claremont League,PY,/reshyc/2025/open/claremontpy.htm
2160,Claremont League,Melges 15,/reshyc/2025/open/claremontm15.htm
2161,Fireball End of Season,Fireball,/reshyc/2025/open_fireball.htm
2162,Dinghy F'bite Winter 2025,ILCA 7,/reshyc/2025/open/dinghywinter_ilca7.htm
2163,Dinghy F'bite Winter 2025,ILCA 6,/reshyc/2025/open/dinghywinter_ilca6.htm
2164,Dinghy F'bite Winter 2025,ILCA 4,/reshyc/2025/open/dinghywinter_ilca4.htm
2165,Dinghy F'bite Winter 2025,PY,/reshyc/2025/open/dinghywinter_py.htm
2166,Dinghy F'bite Winter 2025,Melges 15,/reshyc/2025/open/dinghywinter_m15.htm
2167,Brass Monkeys Winter,Class 1,/reshyc/2025/open_bm_class1.htm
2168,Brass Monkeys Winter,Class 2,/reshyc/2025/open_bm_class2.htm
2169,Brass Monkeys Winter,Class 3,/reshyc/2025/open_bm_class3.htm
