Sail Number,Finish,Status
20,20:47:43,
22,20:46:01,
310,20:48:48,
54,20:49:27,
1048,20:54:16,
187,20:54:45,
245,20:57:17,
6413,20:46:28,
318,20:53:24,
386,20:50:04,
15,20:45:26,
50,20:49:48,
2021,20:47:14,
79,20:57:43,
384,20:51:01,
385,20:47:26,
219,20:55:44,
34,20:58:09,
5526,,RET
