Sail Number,Finish,Status
20,20:44:20,
318,20:47:19,
386,20:45:51,
1048,20:52:54,
383,20:48:59,
2021,20:43:32,
310,20:47:11,
50,20:47:08,
385,20:43:32,
6413,20:44:03,
5526,20:51:04,
54,20:48:38,
384,20:48:26,
187,20:55:03,
15,20:43:13,
34,20:54:40,
22,20:49:01,
245,21:06:13,
101,,RET
