Sail Number,Finish,Status
124,20:15:45,
21,20:15:58,
20,20:20:12,
15,20:18:28,
2021,20:19:41,
318,20:26:05,
386,20:24:19,
22,20:23:07,
34,20:29:16,
50,20:25:12,
310,20:26:21,
1048,20:33:14,
385,20:25:30,
383,20:28:46,
187,20:33:58,
245,20:36:15,
6413,,UFD
5526,,DNF
384,,DNF
53,,DNF
