Sail Number,Finish,Status
318,20:33:41,
20,20:32:47,
34,20:34:45,
384,20:32:24,
15,20:29:51,
385,20:30:29,
310,20:33:09,
6413,20:31:52,
386,20:34:21,
187,20:37:04,
219,20:36:08,
22,20:32:38,
2021,20:32:25,
245,20:40:18,
50,20:35:49,
