Sail Number,Finish,Status
21,20:26:06,
383,20:34:21,
20,20:35:49,
50,20:34:42,
22,20:33:24,
386,20:37:18,
15,20:32:42,
385,20:32:43,
6413,20:32:52,
245,20:45:05,
219,20:40:15,
310,20:38:32,
124,20:37:48,
384,20:44:49,
2021,20:40:24,
1048,20:52:25,
34,,DNF
