Sail Number,Finish,Status
310,20:11:22,
2021,20:10:32,
6413,20:10:47,
219,20:16:05,
50,20:14:03,
22,20:13:15,
386,20:15:15,
15,20:11:47,
385,20:13:04,
5526,20:18:51,
1048,20:21:38,
124,20:14:39,
34,,DNF
101,,DNF
