Sail Number,Finish,Status
318,21:01:36,
187,21:03:28,
20,20:59:12,
2021,20:56:42,
6413,20:56:57,
15,20:57:28,
245,21:07:28,
219,21:05:42,
386,21:00:29,
310,21:03:47,
34,,RET
5526,,RET
