Sail Number,Finish,Status
34,20:45:31,
101,20:49:01,
6413,20:40:00,
20,20:45:46,
1048,20:50:28,
124,20:42:30,
15,20:39:29,
384,20:45:25,
50,20:44:49,
383,20:47:45,
187,20:51:51,
5526,20:48:53,
2021,20:42:47,
219,20:51:30,
385,20:46:26,
22,20:50:38,
