Sail Number,Finish,Status
219,20:05:24,
310,20:04:33,
2021,20:03:38,
50,20:05:19,
15,20:04:03,
22,20:04:43,
385,20:05:22,
386,20:07:00,
20,20:10:41,
245,20:15:35,
1048,20:18:10,
34,20:19:50,
318,20:20:06,
101,20:25:49,
6413,20:19:39,
187,20:26:04,
