Sail Number,Finish,Status
6413,20:41:37,
1048,20:52:54,
219,20:49:57,
15,20:42:02,
310,20:49:40,
385,20:45:04,
2021,20:46:42,
22,20:47:46,
50,20:49:53,
5526,20:53:44,
101,,DNF
