Sail Number,Finish,Status
6413,20:15:29,
219,20:21:15,
383,20:20:37,
310,20:19:04,
2021,20:18:19,
385,20:18:47,
20,20:22:52,
15,20:19:40,
318,20:27:25,
386,20:25:46,
22,20:25:24,
1048,,DNF
34,,DNS
245,,DNF
