Sail Number,Finish,Status
385,20:08:30,
50,20:12:08,
101,20:18:58,
2021,20:11:50,
15,20:11:04,
6413,20:15:45,
22,20:15:12,
20,20:24:17,
386,20:26:57,
219,20:30:09,
318,,DNF
1048,,DNF
34,,DNF
