Sail Number,Finish,Status
50,20:41:32,
1048,20:48:42,
386,20:42:47,
310,20:42:40,
15,20:37:34,
219,20:45:46,
6413,20:38:42,
22,20:42:18,
79,20:53:05,
124,20:40:02,
383,20:45:52,
2021,20:41:15,
385,20:42:02,
54,20:47:44,
245,21:03:27,
20,,DNS
5526,,RET
